"Tabela 10295 - Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a), valor do rendimento domiciliar mensal per capita, médio e mediano, por sexo, cor ou raça e grupos de idade"
"Variável - Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) (Reais)"
"Nível";"Cód.";"Município";"Grupo de idade";"Ano x Sexo x Cor ou raça"
"Nível";"Cód.";"Município";"Grupo de idade";"2022"
"Nível";"Cód.";"Município";"Grupo de idade";"Total"
"Nível";"Cód.";"Município";"Grupo de idade";"Total"
"MU";"1707009";"Dianópolis (TO)";"Total";"1143,30"
"MU";"1707108";"Divinópolis do Tocantins (TO)";"Total";"1231,09"
"MU";"1707207";"Dois Irmãos do Tocantins (TO)";"Total";"1097,58"
"MU";"1707306";"Dueré (TO)";"Total";"1188,81"
"MU";"1707405";"Esperantina (TO)";"Total";"723,55"
"MU";"1707553";"Fátima (TO)";"Total";"1181,37"
"MU";"1707652";"Figueirópolis (TO)";"Total";"1201,32"
"MU";"1707702";"Filadélfia (TO)";"Total";"922,76"
"MU";"1708205";"Formoso do Araguaia (TO)";"Total";"1174,54"
"MU";"1708254";"Tabocão (TO)";"Total";"1092,33"
"MU";"1708304";"Goianorte (TO)";"Total";"1104,48"
"MU";"1709005";"Goiatins (TO)";"Total";"803,98"
"MU";"1709302";"Guaraí (TO)";"Total";"1406,97"
"MU";"1709500";"Gurupi (TO)";"Total";"1665,16"
"MU";"1709807";"Ipueiras (TO)";"Total";"1060,80"
"MU";"1710508";"Itacajá (TO)";"Total";"951,97"
"MU";"1710706";"Itaguatins (TO)";"Total";"850,59"
"MU";"1710904";"Itapiratins (TO)";"Total";"933,46"
"MU";"1711100";"Itaporã do Tocantins (TO)";"Total";"1076,92"
"MU";"1711506";"Jaú do Tocantins (TO)";"Total";"1033,94"
"MU";"1711803";"Juarina (TO)";"Total";"791,63"
"MU";"1711902";"Lagoa da Confusão (TO)";"Total";"1229,28"
